VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 755.720794;nd_seq 149914; raw_accs 2076; 2040; 2544; raw_gyros 0041; 0054;-006 ;phys_accs  27.884932; -95.810097; -951.087891;phys_gyros  -0.037936; -0.012118;  0.021001; ; frame_size 3390;video_stream.frame_number 21481;  hdvideo_stream.frame_number: 0 ; 1431377653.635361 

;navdata_time 755.725799;nd_seq 149915; raw_accs 2076; 2040; 2544; raw_gyros 0040; 0053;-008 ;phys_accs  27.893394; -93.808197; -953.052246;phys_gyros   0.019440;  0.021516;  0.074926; ; frame_size 3390;video_stream.frame_number 21481;  hdvideo_stream.frame_number: 0 ; 1431377653.641725 

;navdata_time 755.730682;nd_seq 149916; raw_accs 2076; 2040; 2544; raw_gyros 0039; 0053;-008 ;phys_accs  27.912500; -92.981285; -951.432129;phys_gyros  -0.010687; -0.030098;  0.034993; ; frame_size 3390;video_stream.frame_number 21481;  hdvideo_stream.frame_number: 0 ; 1431377653.644945 

;navdata_time 755.735656;nd_seq 149917; raw_accs 2076; 2040; 2544; raw_gyros 0042; 0054;-006 ;phys_accs  27.872091; -93.825340; -952.778809;phys_gyros   0.021029; -0.026684;  0.060728; ; frame_size 3388;video_stream.frame_number 21482;  hdvideo_stream.frame_number: 0 ; 1431377653.649486 

;navdata_time 755.740722;nd_seq 149918; raw_accs 2072; 2040; 2544; raw_gyros 0044; 0054;-007 ;phys_accs  26.314602; -94.967812; -951.751953;phys_gyros   0.031461; -0.031843;  0.030849; ; frame_size 3388;video_stream.frame_number 21482;  hdvideo_stream.frame_number: 0 ; 1431377653.655414 

;navdata_time 755.745819;nd_seq 149919; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0052;-007 ;phys_accs  24.432980; -94.589188; -951.820801;phys_gyros   0.050770; -0.027291;  0.019253; ; frame_size 3388;video_stream.frame_number 21482;  hdvideo_stream.frame_number: 0 ; 1431377653.659623 

