VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1928.874511;nd_seq 383472; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0052;-007 ;phys_accs  19.721758; -108.408745; -946.478027;phys_gyros   0.031640; -0.032005; -0.019112; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.909571 

;navdata_time 1928.879638;nd_seq 383473; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0053;-005 ;phys_accs  19.742937; -106.564789; -950.480469;phys_gyros  -0.014448;  0.035109; -0.019523; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.914451 

;navdata_time 1928.884643;nd_seq 383474; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0053;-006 ;phys_accs  19.807981; -103.121094; -953.400391;phys_gyros  -0.053502;  0.055352; -0.039576; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.919821 

;navdata_time 1928.889678;nd_seq 383475; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0053;-008 ;phys_accs  19.861361; -101.456917; -953.259277;phys_gyros  -0.059914;  0.093903; -0.021918; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.924833 

;navdata_time 1928.894622;nd_seq 383476; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.877983; -100.911522; -952.834961;phys_gyros  -0.030128;  0.054723; -0.009174; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.930121 

;navdata_time 1928.899627;nd_seq 383477; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0054;-004 ;phys_accs  19.865896; -101.597801; -950.749023;phys_gyros  -0.017393;  0.026841; -0.007733; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.934795 

;navdata_time 1928.904693;nd_seq 383478; raw_accs 2072; 2044; 2544; raw_gyros 0050; 0055;-007 ;phys_accs  19.791941; -102.947914; -951.714355;phys_gyros   0.020842; -0.029322; -0.026023; ; frame_size 3732;video_stream.frame_number 48997;  hdvideo_stream.frame_number: 0 ; 1431378826.940278 

;navdata_time 1928.909667;nd_seq 383479; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0054;-008 ;phys_accs  19.763260; -102.341888; -951.756836;phys_gyros   0.018014; -0.030443; -0.028121; ; frame_size 3698;video_stream.frame_number 48998;  hdvideo_stream.frame_number: 0 ; 1431378826.944672 

;navdata_time 1928.914611;nd_seq 383480; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-007 ;phys_accs  19.701143; -104.101151; -952.431152;phys_gyros   0.026158; -0.028923; -0.006960; ; frame_size 3698;video_stream.frame_number 48998;  hdvideo_stream.frame_number: 0 ; 1431378826.951745 

;navdata_time 1928.920043;nd_seq 383481; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.688835; -105.126862; -952.240723;phys_gyros  -0.003335; -0.000549;  0.028704; ; frame_size 3698;video_stream.frame_number 48998;  hdvideo_stream.frame_number: 0 ; 1431378826.956287 

