VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 22.821411;nd_seq 399; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-004 ;phys_accs  59.114326; -95.578461; -998.744629;phys_gyros  -0.031239; -0.113191;  0.029156; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.647009 

;navdata_time 22.826354;nd_seq 400; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-004 ;phys_accs  59.157124; -95.582512; -998.742676;phys_gyros  -0.018254; -0.099680; -0.004361; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.651959 

;navdata_time 22.831359;nd_seq 401; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0053;-006 ;phys_accs  59.192551; -95.570557; -998.741211;phys_gyros  -0.027617; -0.065346; -0.022572; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.656879 

;navdata_time 22.836517;nd_seq 402; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0052;-005 ;phys_accs  59.214783; -95.552307; -998.745605;phys_gyros  -0.025557; -0.045321; -0.036251; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.662314 

;navdata_time 22.841430;nd_seq 403; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0052;-004 ;phys_accs  59.218746; -95.536812; -998.738770;phys_gyros  -0.057079;  0.016025; -0.045599; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.667009 

;navdata_time 22.846649;nd_seq 404; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0054;-006 ;phys_accs  59.200661; -95.517570; -998.744629;phys_gyros  -0.087195;  0.031818; -0.008608; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.672331 

;navdata_time 22.851470;nd_seq 405; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0055;-007 ;phys_accs  59.160488; -95.510109; -998.741211;phys_gyros  -0.091356;  0.028073;  0.012412; ; frame_size 797;video_stream.frame_number 620;  hdvideo_stream.frame_number: 0 ; 1431366311.677819 

;navdata_time 22.856475;nd_seq 406; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0054;-006 ;phys_accs  59.103165; -95.511108; -998.743164;phys_gyros  -0.118826; -0.034539;  0.048209; ; frame_size 1665;video_stream.frame_number 621;  hdvideo_stream.frame_number: 0 ; 1431366311.682087 

;navdata_time 22.861419;nd_seq 407; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0054;-005 ;phys_accs  59.068043; -93.985901; -998.734375;phys_gyros  -0.073822; -0.092694;  0.050625; ; frame_size 1665;video_stream.frame_number 621;  hdvideo_stream.frame_number: 0 ; 1431366311.686870 

;navdata_time 22.866607;nd_seq 408; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0055;-006 ;phys_accs  59.051643; -92.123199; -998.724609;phys_gyros  -0.072815; -0.106688;  0.050226; ; frame_size 1665;video_stream.frame_number 621;  hdvideo_stream.frame_number: 0 ; 1431366311.692563 

;navdata_time 22.871551;nd_seq 409; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0055;-007 ;phys_accs  59.095592; -88.648941; -998.707031;phys_gyros  -0.020531; -0.101912;  0.042500; ; frame_size 1665;video_stream.frame_number 621;  hdvideo_stream.frame_number: 0 ; 1431366311.697259 

;navdata_time 22.876495;nd_seq 410; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0054;-008 ;phys_accs  59.146175; -87.008560; -998.696289;phys_gyros   0.000024; -0.073739;  0.062391; ; frame_size 1665;video_stream.frame_number 621;  hdvideo_stream.frame_number: 0 ; 1431366311.701979 

;navdata_time 22.881500;nd_seq 411; raw_accs 2092; 2036; 2568; raw_gyros 0017; 0053;-005 ;phys_accs  59.210213; -86.448914; -998.697266;phys_gyros  -0.037191; -0.064542;  0.074457; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.707102 

;navdata_time 22.886657;nd_seq 412; raw_accs 2092; 2036; 2568; raw_gyros 0018; 0053;-005 ;phys_accs  59.265995; -87.110229; -998.697266;phys_gyros  -0.057143; -0.043613;  0.085437; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.712262 

;navdata_time 22.891510;nd_seq 413; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0053;-005 ;phys_accs  59.274200; -89.928932; -998.713867;phys_gyros  -0.158672; -0.006813;  0.033907; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.717087 

;navdata_time 22.896606;nd_seq 414; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-005 ;phys_accs  59.287079; -91.146034; -998.719727;phys_gyros  -0.124377; -0.007649; -0.016930; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.724110 

;navdata_time 22.901702;nd_seq 415; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-005 ;phys_accs  59.223335; -94.839203; -998.738770;phys_gyros  -0.107795; -0.014107; -0.048391; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.727479 

;navdata_time 22.906494;nd_seq 416; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0054;-005 ;phys_accs  59.182426; -95.663063; -998.744629;phys_gyros  -0.033895; -0.069468; -0.043998; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.732087 

;navdata_time 22.911560;nd_seq 417; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-005 ;phys_accs  59.121120; -96.625778; -998.747070;phys_gyros   0.013909; -0.080844; -0.002154; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.739212 

;navdata_time 22.916595;nd_seq 418; raw_accs 2092; 2040; 2564; raw_gyros 0019; 0054;-005 ;phys_accs  59.100582; -96.190666; -997.255859;phys_gyros  -0.035113; -0.072666; -0.010978; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.742122 

;navdata_time 22.921569;nd_seq 419; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0055;-004 ;phys_accs  59.101562; -94.754486; -996.909180;phys_gyros  -0.041355; -0.066210; -0.015230; ; frame_size 2186;video_stream.frame_number 622;  hdvideo_stream.frame_number: 0 ; 1431366311.749839 

