VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1419.301330;nd_seq 282077; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-006 ;phys_accs  19.073290; -101.747787; -958.771484;phys_gyros  -0.077706; -0.004521; -0.013885; ; frame_size 3791;video_stream.frame_number 40497;  hdvideo_stream.frame_number: 0 ; 1431378317.234965 

;navdata_time 1419.306579;nd_seq 282078; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0052;-006 ;phys_accs  20.192535; -101.968788; -957.514160;phys_gyros  -0.014331;  0.020572;  0.013567; ; frame_size 3791;video_stream.frame_number 40497;  hdvideo_stream.frame_number: 0 ; 1431378317.243014 

;navdata_time 1419.311309;nd_seq 282079; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  20.433231; -102.425056; -953.449219;phys_gyros   0.006527; -0.014114;  0.008524; ; frame_size 3791;video_stream.frame_number 40497;  hdvideo_stream.frame_number: 0 ; 1431378317.245137 

;navdata_time 1419.316497;nd_seq 282080; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  20.270811; -103.714897; -950.607422;phys_gyros   0.041878;  0.030670; -0.008212; ; frame_size 3791;video_stream.frame_number 40497;  hdvideo_stream.frame_number: 0 ; 1431378317.264376 

;navdata_time 1419.321502;nd_seq 282081; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-008 ;phys_accs  19.148203; -105.665985; -950.634766;phys_gyros   0.058418;  0.014554;  0.018692; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.265027 

;navdata_time 1419.326690;nd_seq 282082; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-005 ;phys_accs  19.584044; -108.942947; -951.127441;phys_gyros   0.017059; -0.017520; -0.036048; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.266941 

;navdata_time 1419.331573;nd_seq 282083; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.603907; -110.589333; -953.230469;phys_gyros   0.023312; -0.033019;  0.042396; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.267791 

;navdata_time 1419.336608;nd_seq 282084; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0053;-005 ;phys_accs  19.743624; -111.254852; -952.251953;phys_gyros  -0.027782; -0.047744; -0.045374; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.270192 

;navdata_time 1419.341705;nd_seq 282085; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-005 ;phys_accs  19.844873; -110.466667; -952.242188;phys_gyros  -0.011615; -0.002750; -0.030921; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.280559 

;navdata_time 1419.346618;nd_seq 282086; raw_accs 2076; 2048; 2544; raw_gyros 0046; 0053;-007 ;phys_accs  21.094091; -109.218292; -951.561523;phys_gyros  -0.038301;  0.015437; -0.061493; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.281472 

;navdata_time 1419.351623;nd_seq 282087; raw_accs 2076; 2048; 2544; raw_gyros 0047; 0055;-008 ;phys_accs  23.124266; -109.838669; -951.816406;phys_gyros  -0.018911; -0.001461; -0.053865; ; frame_size 3754;video_stream.frame_number 40498;  hdvideo_stream.frame_number: 0 ; 1431378317.289036 

;navdata_time 1419.356689;nd_seq 282088; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0057;-006 ;phys_accs  25.079329; -109.682266; -952.347656;phys_gyros  -0.003005; -0.047529;  0.033445; ; frame_size 3841;video_stream.frame_number 40499;  hdvideo_stream.frame_number: 0 ; 1431378317.290499 

;navdata_time 1419.361633;nd_seq 282089; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0056;-005 ;phys_accs  24.869753; -110.602585; -952.143066;phys_gyros   0.025485; -0.108155; -0.001869; ; frame_size 3841;video_stream.frame_number 40499;  hdvideo_stream.frame_number: 0 ; 1431378317.303390 

;navdata_time 1419.366973;nd_seq 282090; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0053;-006 ;phys_accs  21.988560; -110.177956; -952.177246;phys_gyros   0.095497; -0.126158;  0.020947; ; frame_size 3841;video_stream.frame_number 40499;  hdvideo_stream.frame_number: 0 ; 1431378317.304170 

;navdata_time 1419.371887;nd_seq 282091; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0056;-006 ;phys_accs  19.583189; -108.385506; -950.415039;phys_gyros   0.072491; -0.106139; -0.063223; ; frame_size 3841;video_stream.frame_number 40499;  hdvideo_stream.frame_number: 0 ; 1431378317.305711 

;navdata_time 1419.376770;nd_seq 282092; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0053;-005 ;phys_accs  17.813131; -106.550194; -948.534668;phys_gyros   0.092764; -0.046575; -0.078763; ; frame_size 3841;video_stream.frame_number 40499;  hdvideo_stream.frame_number: 0 ; 1431378317.322937 

;navdata_time 1419.381805;nd_seq 282093; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-008 ;phys_accs  19.239012; -102.842934; -945.302734;phys_gyros   0.005721; -0.007793; -0.042274; ; frame_size 3841;video_stream.frame_number 40499;  hdvideo_stream.frame_number: 0 ; 1431378317.323706 

