VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1371.121215;nd_seq 272484; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-008 ;phys_accs  19.367483; -110.283897; -951.997070;phys_gyros   0.054186; -0.020544;  0.015102; ; frame_size 2010;video_stream.frame_number 39053;  hdvideo_stream.frame_number: 0 ; 1431378269.056503 

;navdata_time 1371.126220;nd_seq 272485; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.159140; -109.774101; -951.994141;phys_gyros   0.081926; -0.016228;  0.043165; ; frame_size 2010;video_stream.frame_number 39053;  hdvideo_stream.frame_number: 0 ; 1431378269.061531 

;navdata_time 1371.131134;nd_seq 272486; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-005 ;phys_accs  19.287434; -110.109726; -951.995605;phys_gyros   0.056538; -0.028669;  0.059714; ; frame_size 2010;video_stream.frame_number 39053;  hdvideo_stream.frame_number: 0 ; 1431378269.063520 

;navdata_time 1371.136138;nd_seq 272487; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-004 ;phys_accs  20.329580; -110.063599; -952.019043;phys_gyros   0.034335; -0.013087; -0.005709; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.077847 

;navdata_time 1371.141143;nd_seq 272488; raw_accs 2072; 2048; 2540; raw_gyros 0048; 0055;-006 ;phys_accs  19.804985; -109.859329; -950.517578;phys_gyros   0.009539; -0.011767; -0.092096; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.078470 

;navdata_time 1371.146392;nd_seq 272489; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-007 ;phys_accs  19.700274; -109.976234; -950.176758;phys_gyros   0.025542;  0.002168; -0.096581; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.079156 

;navdata_time 1371.151184;nd_seq 272490; raw_accs 2072; 2048; 2540; raw_gyros 0047; 0054;-007 ;phys_accs  19.575144; -109.735626; -947.123047;phys_gyros   0.053250; -0.017464; -0.069224; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.085569 

