VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 824.013214;nd_seq 163529; raw_accs 2072; 2040; 2548; raw_gyros 0043; 0052;-007 ;phys_accs  20.277287; -95.071663; -953.119629;phys_gyros   0.002089;  0.011458; -0.025115; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.930383 

;navdata_time 824.018646;nd_seq 163530; raw_accs 2072; 2040; 2548; raw_gyros 0042; 0054;-007 ;phys_accs  20.478365; -94.398964; -955.387207;phys_gyros   0.050230;  0.020126;  0.005489; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.934276 

;navdata_time 824.023315;nd_seq 163531; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0053;-006 ;phys_accs  20.288113; -94.761383; -958.824707;phys_gyros   0.039547; -0.002567;  0.011457; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.938958 

;navdata_time 824.028411;nd_seq 163532; raw_accs 2072; 2044; 2548; raw_gyros 0040; 0052;-006 ;phys_accs  19.205709; -95.320190; -960.212891;phys_gyros   0.034016;  0.024198; -0.002835; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.943892 

;navdata_time 824.033325;nd_seq 163533; raw_accs 2072; 2044; 2548; raw_gyros 0044; 0055;-008 ;phys_accs  19.685637; -97.681953; -960.800293;phys_gyros   0.013416; -0.000141;  0.000288; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.950249 

;navdata_time 824.038574;nd_seq 163534; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0053;-006 ;phys_accs  19.725389; -101.360931; -960.052246;phys_gyros   0.003183;  0.003790; -0.001171; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.954645 

;navdata_time 824.043457;nd_seq 163535; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0055;-007 ;phys_accs  19.869425; -102.816536; -958.906738;phys_gyros   0.065999; -0.045730;  0.020814; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.959060 

;navdata_time 824.048583;nd_seq 163536; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0053;-008 ;phys_accs  19.940224; -103.568665; -959.550293;phys_gyros   0.083871; -0.035319;  0.035335; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.965659 

;navdata_time 824.053497;nd_seq 163537; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0054;-007 ;phys_accs  19.631020; -102.543884; -959.283203;phys_gyros   0.084918; -0.064350;  0.039664; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.969185 

;navdata_time 824.058502;nd_seq 163538; raw_accs 2072; 2044; 2548; raw_gyros 0039; 0053;-008 ;phys_accs  19.784464; -101.348663; -960.116699;phys_gyros   0.018506; -0.018332;  0.069006; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.974049 

;navdata_time 824.063446;nd_seq 163539; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0052;-006 ;phys_accs  19.780909; -102.013039; -958.216309;phys_gyros  -0.042089;  0.006558;  0.035869; ; frame_size 2602;video_stream.frame_number 22901;  hdvideo_stream.frame_number: 0 ; 1431377721.979188 

;navdata_time 824.068542;nd_seq 163540; raw_accs 2072; 2044; 2544; raw_gyros 0040; 0054;-005 ;phys_accs  19.847212; -101.704254; -956.190918;phys_gyros  -0.070260;  0.008766;  0.031519; ; frame_size 2602;video_stream.frame_number 22901;  hdvideo_stream.frame_number: 0 ; 1431377721.984123 

;navdata_time 824.073516;nd_seq 163541; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0053;-007 ;phys_accs  19.926239; -102.619560; -952.940918;phys_gyros  -0.027529;  0.050384; -0.026607; ; frame_size 2602;video_stream.frame_number 22901;  hdvideo_stream.frame_number: 0 ; 1431377721.989100 

;navdata_time 824.078857;nd_seq 163542; raw_accs 2072; 2044; 2544; raw_gyros 0044; 0053;-007 ;phys_accs  19.830484; -102.141708; -951.161621;phys_gyros   0.029180; -0.019704; -0.034238; ; frame_size 2602;video_stream.frame_number 22901;  hdvideo_stream.frame_number: 0 ; 1431377721.994576 

;navdata_time 824.083587;nd_seq 163543; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0053;-007 ;phys_accs  19.854376; -101.980659; -950.895508;phys_gyros   0.089441;  0.025944; -0.008108; ; frame_size 2602;video_stream.frame_number 22901;  hdvideo_stream.frame_number: 0 ; 1431377722.000071 

;navdata_time 824.088623;nd_seq 163544; raw_accs 2072; 2044; 2544; raw_gyros 0041; 0052;-006 ;phys_accs  19.794533; -102.175644; -951.463867;phys_gyros   0.106327;  0.000501;  0.003128; ; frame_size 2602;video_stream.frame_number 22901;  hdvideo_stream.frame_number: 0 ; 1431377722.004115 

;navdata_time 824.093658;nd_seq 163545; raw_accs 2072; 2044; 2548; raw_gyros 0040; 0053;-007 ;phys_accs  19.743498; -102.036667; -954.175293;phys_gyros   0.026447;  0.030002;  0.048078; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.010048 

;navdata_time 824.098632;nd_seq 163546; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0054;-009 ;phys_accs  19.735765; -102.351105; -955.450195;phys_gyros   0.017023;  0.045259;  0.034352; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.015901 

;navdata_time 824.103668;nd_seq 163547; raw_accs 2072; 2044; 2544; raw_gyros 0040; 0052;-007 ;phys_accs  19.674316; -102.217682; -957.468750;phys_gyros  -0.082158;  0.013846;  0.045256; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.020391 

;navdata_time 824.108703;nd_seq 163548; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0054;-007 ;phys_accs  19.705126; -102.106056; -956.523438;phys_gyros   0.005056;  0.008631;  0.071747; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.024301 

;navdata_time 824.113861;nd_seq 163549; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0052;-006 ;phys_accs  19.714968; -102.128120; -955.503906;phys_gyros  -0.007464;  0.006392;  0.035231; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.029594 

